codigoSecuencialCliente,codigoPeriodo,codigoIdentificacionCliente,tipoIdentificacionCliente,numeroIdentificacionCliente,nombreCompletoCliente,segmentoCliente,scoreCrediticioCliente,provinciaCliente,ciudadCliente,fechaRegistroCliente,periodo
1176,202602,CUS-00177,CÉDULA,7540725266,ÓSCAR LUIS MIGUEL NEVÁREZ BARRIENTOS,CORPORATIVO,312,GUAYAS,CUENCA,2023-09-14,2026-02-21
1177,202602,CUS-00178,CÉDULA,8479970420,MTRO. ADÁN PERES,WEALTH,992,PICHINCHA,GUAYAQUIL,2023-08-29,2026-02-21
1178,202602,CUS-00179,RUC,3729189461001,BERNABÉ PRIETO,RETAIL,792,PICHINCHA,CUENCA,2024-09-28,2026-02-21
1179,202602,CUS-00180,CÉDULA,8833599950,TERESA MARÍA LUISA CORRAL PUGA,WEALTH,567,PICHINCHA,GUAYAQUIL,2022-06-07,2026-02-21
1180,202602,CUS-00181,CÉDULA,8148326572,OCTAVIO URIEL JIMÍNEZ,PYME,824,AZUAY,MANTA,2025-05-27,2026-02-21
1181,202602,CUS-00182,CÉDULA,4933397529,ING. MAXIMILIANO RIVERO,PYME,419,GUAYAS,GUAYAQUIL,2022-08-15,2026-02-21
1182,202602,CUS-00183,RUC,4545764953001,ROSALIA JASSO,RETAIL,652,GUAYAS,MANTA,2022-06-25,2026-02-21
1183,202602,CUS-00184,RUC,8306632749001,FELIPE ASUNCIÓN LEIVA RAYA,WEALTH,356,AZUAY,CUENCA,2021-09-25,2026-02-21
1184,202602,CUS-00185,CÉDULA,6337711220,MARISOL REBECA OJEDA,RETAIL,339,PICHINCHA,GUAYAQUIL,2022-04-05,2026-02-21
1185,202602,CUS-00186,CÉDULA,2579543236,ALICIA MIGUEL ÁNGEL MELÉNDEZ ECHEVERRÍA,PYME,635,PICHINCHA,MANTA,2023-10-22,2026-02-21
1186,202602,CUS-00187,RUC,0601308500001,ERIC MOTA,RETAIL,939,LOJA,MANTA,2022-08-07,2026-02-21
1187,202602,CUS-00188,CÉDULA,5335689483,JACINTO GILBERTO YBARRA LEAL,WEALTH,472,MANABÍ,MANTA,2024-05-03,2026-02-21
1188,202602,CUS-00189,CÉDULA,9120550242,SR(A). NOEMÍ ESPINO,PYME,846,GUAYAS,QUITO,2025-11-07,2026-02-21
1189,202602,CUS-00190,CÉDULA,9292443049,FABIOLA PALOMO SÁENZ,CORPORATIVO,558,GUAYAS,CUENCA,2022-07-12,2026-02-21
1190,202602,CUS-00191,CÉDULA,4359366120,DR. MARTÍN SALAS,PYME,816,GUAYAS,MANTA,2021-10-20,2026-02-21
1191,202602,CUS-00192,RUC,7835858378001,ADRIANA CABÁN,CORPORATIVO,822,MANABÍ,GUAYAQUIL,2025-07-04,2026-02-21
1192,202602,CUS-00193,RUC,3479562679001,ESTELA LETICIA GUERRERO MALAVE,RETAIL,416,LOJA,MANTA,2021-05-25,2026-02-21
1193,202602,CUS-00194,CÉDULA,5985837319,MTRO. MARIO URIBE,RETAIL,483,MANABÍ,QUITO,2026-01-15,2026-02-21
1194,202602,CUS-00195,CÉDULA,8431065173,MTRO. LUZ URBINA,WEALTH,415,PICHINCHA,CUENCA,2026-02-01,2026-02-21
1195,202602,CUS-00196,CÉDULA,7649978494,JESÚS MARÍA ELENA JUÁREZ MALAVE,CORPORATIVO,461,PICHINCHA,QUITO,2022-03-10,2026-02-21
1196,202602,CUS-00197,CÉDULA,1426947022,ESTHER CARLA ESPINOZA MATA,RETAIL,878,GUAYAS,QUITO,2021-09-20,2026-02-21
1197,202602,CUS-00198,RUC,8488014398001,OMAR ESCALANTE ESPINOSA,CORPORATIVO,842,AZUAY,QUITO,2024-05-20,2026-02-21
1198,202602,CUS-00199,RUC,6560071986001,MAXIMILIANO GERÓNIMO VILLALPANDO,RETAIL,886,GUAYAS,GUAYAQUIL,2024-04-20,2026-02-21
1199,202602,CUS-00200,CÉDULA,5001551094,ING. GUILLERMINA CAMARILLO,PYME,536,AZUAY,CUENCA,2026-01-01,2026-02-21
1200,202602,CUS-00201,CÉDULA,4158191265,GUSTAVO ESPERANZA MURO,RETAIL,365,MANABÍ,CUENCA,2022-10-05,2026-02-21
1201,202602,CUS-00202,CÉDULA,7759220643,HERMELINDA ADELA TEJEDA,WEALTH,369,PICHINCHA,GUAYAQUIL,2025-11-15,2026-02-21
1202,202602,CUS-00203,CÉDULA,9335774538,GERARDO AMALIA AYALA,PYME,746,AZUAY,CUENCA,2025-07-24,2026-02-21
1203,202602,CUS-00204,RUC,7990187270001,MTRO. CARMEN SALAS,WEALTH,715,MANABÍ,QUITO,2022-06-17,2026-02-21
1204,202602,CUS-00205,CÉDULA,9325636812,ADÁN VELA LINARES,PYME,831,PICHINCHA,CUENCA,2021-10-22,2026-02-21
1205,202602,CUS-00206,CÉDULA,4279778344,MAURO QUINTANA,CORPORATIVO,740,AZUAY,GUAYAQUIL,2025-08-19,2026-02-21
1206,202602,CUS-00207,CÉDULA,7687193516,DULCE MARÍA AMELIA HERNÁDEZ ROMO,WEALTH,763,GUAYAS,QUITO,2022-08-12,2026-02-21
1207,202602,CUS-00208,CÉDULA,2217500674,ANDRÉS PACHECO SALAZAR,RETAIL,695,GUAYAS,GUAYAQUIL,2026-01-25,2026-02-21
1208,202602,CUS-00209,CÉDULA,4355286064,REYNALDO AVILÉS CORONADO,CORPORATIVO,850,GUAYAS,MANTA,2024-04-08,2026-02-21
1209,202602,CUS-00210,CÉDULA,4135964820,RAMÓN HERNÁN BRIONES,RETAIL,956,MANABÍ,QUITO,2021-03-11,2026-02-21
1210,202602,CUS-00211,CÉDULA,3831942835,CARIDAD PORFIRIO PEÑA,PYME,856,GUAYAS,QUITO,2022-12-01,2026-02-21
1211,202602,CUS-00212,CÉDULA,1528184715,ING. SERAFÍN GASTÉLUM,PYME,694,LOJA,CUENCA,2024-10-16,2026-02-21
1212,202602,CUS-00213,CÉDULA,2947904231,LIC. MARÍA DEL CARMEN QUINTERO,RETAIL,625,PICHINCHA,QUITO,2022-07-15,2026-02-21
1213,202602,CUS-00214,CÉDULA,8219865042,ROLANDO LUIS MIGUEL MAGAÑA VARELA,RETAIL,390,MANABÍ,GUAYAQUIL,2022-06-02,2026-02-21
1214,202602,CUS-00215,CÉDULA,0311277658,SR(A). SANTIAGO CAMACHO,CORPORATIVO,369,GUAYAS,CUENCA,2021-03-20,2026-02-21
1215,202602,CUS-00216,CÉDULA,3076623985,SOCORRO ERIC JAIME,RETAIL,465,PICHINCHA,MANTA,2024-06-04,2026-02-21
1216,202602,CUS-00217,CÉDULA,4284433068,CRISTINA GRIJALVA DELGADILLO,WEALTH,941,AZUAY,GUAYAQUIL,2025-06-24,2026-02-21
1217,202602,CUS-00218,CÉDULA,2120561753,SR(A). CRISTINA ACEVEDO,WEALTH,513,GUAYAS,MANTA,2025-11-01,2026-02-21
1218,202602,CUS-00219,CÉDULA,4722308779,MARÍA DEL CARMEN VILLEGAS,RETAIL,900,PICHINCHA,MANTA,2024-01-21,2026-02-21
1219,202602,CUS-00220,RUC,5658222928001,GUILLERMO APODACA,WEALTH,634,LOJA,MANTA,2024-10-02,2026-02-21
1220,202602,CUS-00221,CÉDULA,3686823754,GRACIELA GUILLERMINA RENDÓN,RETAIL,668,AZUAY,QUITO,2024-07-31,2026-02-21
1221,202602,CUS-00222,CÉDULA,3708073842,EUGENIA JAIME VILLALPANDO,CORPORATIVO,883,LOJA,GUAYAQUIL,2025-11-13,2026-02-21
1222,202602,CUS-00223,CÉDULA,8833718587,LUZ CAMILA TOVAR,WEALTH,976,PICHINCHA,GUAYAQUIL,2022-06-05,2026-02-21
1223,202602,CUS-00224,CÉDULA,6021444342,VICENTE CONCHITA JÁQUEZ,WEALTH,348,LOJA,QUITO,2024-04-09,2026-02-21
1224,202602,CUS-00225,CÉDULA,0488320170,ANGÉLICA ANA MARÍA DE JESÚS,RETAIL,351,PICHINCHA,CUENCA,2024-02-29,2026-02-21
1225,202602,CUS-00226,CÉDULA,7675829357,ROSARIO REBECA LOMELI QUIÑONES,WEALTH,588,PICHINCHA,MANTA,2022-03-03,2026-02-21
1226,202602,CUS-00227,PASAPORTE,P42538236,MAYTE MAESTAS PADRÓN,PYME,925,LOJA,GUAYAQUIL,2023-05-08,2026-02-21
1227,202602,CUS-00228,CÉDULA,6352517168,MÓNICA PAOLA SALCIDO QUEZADA,CORPORATIVO,538,PICHINCHA,QUITO,2022-10-05,2026-02-21
1228,202602,CUS-00229,RUC,0765558105001,RUFINO ARENAS PRECIADO,CORPORATIVO,432,GUAYAS,MANTA,2022-02-27,2026-02-21
1229,202602,CUS-00230,CÉDULA,9729080272,SALMA FIDEL ALVAREZ BUSTOS,WEALTH,465,PICHINCHA,CUENCA,2024-04-15,2026-02-21
1230,202602,CUS-00231,CÉDULA,3705007309,ZEFERINO RENÉ VILLAGÓMEZ,WEALTH,673,MANABÍ,CUENCA,2025-06-06,2026-02-21
1231,202602,CUS-00232,CÉDULA,6440958874,ZACARÍAS JIMÉNEZ VELÁZQUEZ,PYME,672,PICHINCHA,MANTA,2023-02-12,2026-02-21
1232,202602,CUS-00233,CÉDULA,0807426686,DELIA RODRÍGEZ SOLANO,PYME,777,MANABÍ,CUENCA,2023-05-15,2026-02-21
1233,202602,CUS-00234,CÉDULA,2072774096,GERMÁN DURÁN,WEALTH,778,PICHINCHA,GUAYAQUIL,2024-10-15,2026-02-21
1234,202602,CUS-00235,CÉDULA,9478660311,LIC. TERESA SALAZAR,WEALTH,949,PICHINCHA,GUAYAQUIL,2023-04-23,2026-02-21
1235,202602,CUS-00236,CÉDULA,1303142730,MARIANO MONTERO PAREDES,PYME,890,LOJA,GUAYAQUIL,2021-11-18,2026-02-21
1236,202602,CUS-00237,CÉDULA,0928618912,INÉS YURIDIA CANTÚ CRUZ,RETAIL,981,GUAYAS,CUENCA,2023-07-15,2026-02-21
1237,202602,CUS-00238,CÉDULA,9125886235,LILIA MIGUEL ÁNGEL LOMELI PACHECO,PYME,934,GUAYAS,GUAYAQUIL,2023-08-15,2026-02-21
1238,202602,CUS-00239,CÉDULA,4152710820,SR(A). MARÍA ELENA BUENO,RETAIL,987,AZUAY,QUITO,2023-06-09,2026-02-21
1239,202602,CUS-00240,CÉDULA,6944086785,FLAVIO IRENE CARRILLO PÁEZ,CORPORATIVO,599,LOJA,GUAYAQUIL,2025-03-21,2026-02-21
1240,202602,CUS-00241,RUC,4513268459001,SR(A). VÍCTOR TORRES,CORPORATIVO,381,LOJA,GUAYAQUIL,2022-01-07,2026-02-21
1241,202602,CUS-00242,PASAPORTE,P12286798,LILIANA AYALA,PYME,386,GUAYAS,CUENCA,2023-12-27,2026-02-21
1242,202602,CUS-00243,RUC,5307617463001,NORMA JOS SAMANIEGO,RETAIL,524,LOJA,GUAYAQUIL,2025-11-09,2026-02-21
1243,202602,CUS-00244,CÉDULA,4700329120,AMELIA FIGUEROA,PYME,315,GUAYAS,MANTA,2022-01-15,2026-02-21
1244,202602,CUS-00245,CÉDULA,0547137503,PAULINA CÉSAR LOERA QUEZADA,PYME,657,LOJA,QUITO,2022-07-20,2026-02-21
1245,202602,CUS-00246,RUC,0147723959001,CARLOS ANAYA,RETAIL,462,PICHINCHA,CUENCA,2022-09-09,2026-02-21
1246,202602,CUS-00247,CÉDULA,2154949494,DR. CRISTOBAL MÁRQUEZ,PYME,909,GUAYAS,QUITO,2025-07-26,2026-02-21
1247,202602,CUS-00248,PASAPORTE,P26531803,SR(A). PEDRO PANTOJA,CORPORATIVO,967,GUAYAS,MANTA,2025-03-24,2026-02-21
1248,202602,CUS-00249,PASAPORTE,P05344801,ESPARTACO CARRERA RIOJAS,WEALTH,813,MANABÍ,CUENCA,2024-07-29,2026-02-21
1249,202602,CUS-00250,RUC,5462291290001,VICENTE CORRALES SAMANIEGO,WEALTH,649,LOJA,CUENCA,2022-01-29,2026-02-21
1250,202602,CUS-00251,CÉDULA,4463207213,NANCY GEORGINA PELAYO ROSAS,PYME,980,LOJA,GUAYAQUIL,2021-11-09,2026-02-21
1251,202602,CUS-00252,CÉDULA,2021758792,FEDERICO REYES,RETAIL,763,GUAYAS,QUITO,2023-04-10,2026-02-21
1252,202602,CUS-00253,RUC,4647404352001,DR. JUAN CARLOS ESPINO,RETAIL,674,PICHINCHA,MANTA,2023-06-01,2026-02-21
1253,202602,CUS-00254,CÉDULA,4155456407,ING. CELIA BARRIOS,CORPORATIVO,391,PICHINCHA,MANTA,2024-05-13,2026-02-21
1254,202602,CUS-00255,CÉDULA,3895022935,LINDA JACINTO SARABIA JARAMILLO,RETAIL,480,PICHINCHA,CUENCA,2023-02-25,2026-02-21
1255,202602,CUS-00256,CÉDULA,6935076821,GUILLERMINA LUGO VILLAGÓMEZ,RETAIL,600,LOJA,GUAYAQUIL,2024-10-05,2026-02-21
1256,202602,CUS-00257,RUC,0241236287001,LIC. CONCHITA RAMÓN,CORPORATIVO,959,MANABÍ,CUENCA,2021-10-28,2026-02-21
1257,202602,CUS-00258,CÉDULA,3000072524,LIC. JAIME MERCADO,PYME,488,GUAYAS,CUENCA,2024-11-22,2026-02-21
1258,202602,CUS-00259,CÉDULA,6155259941,ING. JOSÉ MARÍA RESÉNDEZ,WEALTH,613,AZUAY,CUENCA,2021-03-13,2026-02-21
1259,202602,CUS-00260,CÉDULA,8727822179,ELENA EVELIO VÁZQUEZ OLIVERA,CORPORATIVO,792,MANABÍ,CUENCA,2021-08-21,2026-02-21
1260,202602,CUS-00261,CÉDULA,0766203840,LILIA ALVARO MATÍAS,PYME,427,AZUAY,MANTA,2023-01-22,2026-02-21
1261,202602,CUS-00262,PASAPORTE,P47748032,JUANA OLVERA,CORPORATIVO,818,MANABÍ,MANTA,2021-09-09,2026-02-21
1262,202602,CUS-00263,CÉDULA,1768135272,MIGUEL ÁNGEL ALEJANDRO CASTRO,PYME,725,PICHINCHA,CUENCA,2021-03-16,2026-02-21
1263,202602,CUS-00264,CÉDULA,1251706195,ING. ISABEL CAMARILLO,CORPORATIVO,858,LOJA,CUENCA,2025-04-17,2026-02-21
1264,202602,CUS-00265,RUC,1197162767001,BENITO SOTELO,PYME,864,AZUAY,GUAYAQUIL,2025-10-24,2026-02-21
1265,202602,CUS-00266,CÉDULA,6564600844,ADELA COLÓN,CORPORATIVO,486,MANABÍ,CUENCA,2021-10-19,2026-02-21
1266,202602,CUS-00267,CÉDULA,2428850669,VANESA CORREA,PYME,849,LOJA,MANTA,2024-12-28,2026-02-21
1267,202602,CUS-00268,CÉDULA,9375331134,MARIANO JAIMES MIRELES,CORPORATIVO,752,AZUAY,QUITO,2022-06-24,2026-02-21
1268,202602,CUS-00269,CÉDULA,7536716117,LIC. VIOLETA BLANCO,WEALTH,770,GUAYAS,MANTA,2025-10-31,2026-02-21
1269,202602,CUS-00270,CÉDULA,1808099155,ZEFERINO OSWALDO OLIVARES MATEO,WEALTH,864,MANABÍ,GUAYAQUIL,2024-02-20,2026-02-21
1270,202602,CUS-00271,RUC,0671785488001,PATRICIA ARANDA,RETAIL,523,GUAYAS,MANTA,2025-02-06,2026-02-21
1271,202602,CUS-00272,RUC,0281331220001,SR(A). EUGENIO LOERA,PYME,453,PICHINCHA,QUITO,2021-03-09,2026-02-21
1272,202602,CUS-00273,RUC,5724096908001,AURORA MANUEL CALVILLO,CORPORATIVO,859,GUAYAS,CUENCA,2025-02-05,2026-02-21
1273,202602,CUS-00274,RUC,7696444070001,MARÍA DE LA CRÚZ LUNA,PYME,650,GUAYAS,QUITO,2023-11-07,2026-02-21
1274,202602,CUS-00275,CÉDULA,3884322490,AMALIA MELÉNDEZ BADILLO,WEALTH,446,MANABÍ,CUENCA,2025-03-25,2026-02-21
1275,202602,CUS-00276,CÉDULA,4568212868,JORGE JOSÉ LUIS PRADO CONCEPCIÓN,PYME,875,PICHINCHA,CUENCA,2025-05-27,2026-02-21
1276,202602,CUS-00277,CÉDULA,1431885575,OLGA LILIA VALLES,CORPORATIVO,648,GUAYAS,MANTA,2021-07-25,2026-02-21
1277,202602,CUS-00278,CÉDULA,0361877631,DAVID DELIA BERRÍOS,PYME,481,LOJA,MANTA,2021-11-01,2026-02-21
1278,202602,CUS-00279,CÉDULA,2547550342,LIC. SILVANO GUAJARDO,CORPORATIVO,936,AZUAY,MANTA,2024-12-08,2026-02-21
1279,202602,CUS-00280,CÉDULA,8055944945,RODOLFO COLLAZO,WEALTH,478,GUAYAS,GUAYAQUIL,2025-08-08,2026-02-21
1280,202602,CUS-00281,RUC,7150392825001,MARÍA TERESA TEODORO HERNÁNDEZ,WEALTH,338,PICHINCHA,MANTA,2025-03-20,2026-02-21
1281,202602,CUS-00282,CÉDULA,0537839950,FLORENCIA AGUIRRE,WEALTH,302,GUAYAS,GUAYAQUIL,2022-09-04,2026-02-21
1282,202602,CUS-00283,CÉDULA,3607954981,GRACIELA TREVIÑO,RETAIL,363,AZUAY,MANTA,2023-07-14,2026-02-21
1283,202602,CUS-00284,CÉDULA,4564806963,ANTONIA MARGARITA MONTAÑO,WEALTH,328,PICHINCHA,CUENCA,2022-05-11,2026-02-21
1284,202602,CUS-00285,CÉDULA,8436328706,MTRO. TIMOTEO PINEDA,PYME,671,MANABÍ,GUAYAQUIL,2023-11-10,2026-02-21
1285,202602,CUS-00286,CÉDULA,8775372811,MARÍA EUGENIA HERMELINDA FARÍAS OLIVO,RETAIL,822,PICHINCHA,QUITO,2022-06-23,2026-02-21
1286,202602,CUS-00287,CÉDULA,6939786473,BERNABÉ GRANADO,WEALTH,396,MANABÍ,GUAYAQUIL,2023-11-10,2026-02-21
1287,202602,CUS-00288,CÉDULA,1580969898,REINA MUÑOZ,PYME,741,PICHINCHA,GUAYAQUIL,2021-03-30,2026-02-21
1288,202602,CUS-00289,CÉDULA,9247730035,MTRO. GUSTAVO ALONZO,PYME,502,AZUAY,QUITO,2021-05-12,2026-02-21
1289,202602,CUS-00290,CÉDULA,7588190143,GERARDO AGUILERA,PYME,710,AZUAY,GUAYAQUIL,2023-11-12,2026-02-21
1290,202602,CUS-00291,CÉDULA,3875015194,SR(A). SAMUEL SALGADO,CORPORATIVO,320,PICHINCHA,CUENCA,2021-08-26,2026-02-21
1291,202602,CUS-00292,CÉDULA,4555192570,ESTELA SAMUEL MORA GAONA,RETAIL,850,GUAYAS,MANTA,2025-07-28,2026-02-21
1292,202602,CUS-00293,RUC,0158327984001,SILVANO FIDEL CHAPA,PYME,401,AZUAY,QUITO,2023-03-20,2026-02-21
1293,202602,CUS-00294,CÉDULA,8126655195,SOLEDAD ARENAS MARES,CORPORATIVO,345,MANABÍ,MANTA,2021-02-22,2026-02-21
1294,202602,CUS-00295,CÉDULA,3210411679,ALDO VENEGAS,WEALTH,365,MANABÍ,CUENCA,2022-04-05,2026-02-21
1295,202602,CUS-00296,CÉDULA,7306037155,CÉSAR AURORA LUCERO MENA,PYME,902,LOJA,QUITO,2022-04-10,2026-02-21
1296,202602,CUS-00297,CÉDULA,8493494797,DELIA FERNÁNDEZ,CORPORATIVO,463,MANABÍ,MANTA,2023-01-25,2026-02-21
1297,202602,CUS-00298,CÉDULA,1675482938,PAOLA JOSEFINA TAMEZ,PYME,410,LOJA,MANTA,2022-11-27,2026-02-21
1298,202602,CUS-00299,CÉDULA,5761208602,MTRO. DANIEL HINOJOSA,RETAIL,637,PICHINCHA,CUENCA,2022-07-29,2026-02-21
1299,202602,CUS-00300,CÉDULA,3342206901,GUSTAVO MIRELES,RETAIL,422,PICHINCHA,MANTA,2025-09-30,2026-02-21
1300,202602,CUS-00301,CÉDULA,3341301099,MAYTE BENÍTEZ CISNEROS,WEALTH,746,PICHINCHA,CUENCA,2024-07-24,2026-02-21
1301,202602,CUS-00302,CÉDULA,3369884900,ZOÉ ZEFERINO OSORIO,PYME,910,GUAYAS,GUAYAQUIL,2024-07-28,2026-02-21
1302,202602,CUS-00303,CÉDULA,5178347242,MTRO. AURORA ORTEGA,CORPORATIVO,590,GUAYAS,CUENCA,2024-09-18,2026-02-21
1303,202602,CUS-00304,CÉDULA,9226669744,GABINO TERÁN CASTAÑEDA,WEALTH,970,LOJA,GUAYAQUIL,2025-08-25,2026-02-21
1304,202602,CUS-00305,CÉDULA,3693137826,JOSÉ CARLOS IGLESIAS,PYME,711,MANABÍ,QUITO,2023-08-07,2026-02-21
1305,202602,CUS-00306,PASAPORTE,P83924027,LIC. TEODORO NIETO,WEALTH,914,MANABÍ,MANTA,2026-02-04,2026-02-21
1306,202602,CUS-00307,CÉDULA,7317793218,ZEFERINO GONZÁLEZ RODRÍGUEZ,CORPORATIVO,580,PICHINCHA,CUENCA,2022-04-06,2026-02-21
1307,202602,CUS-00308,CÉDULA,0647364488,SILVANO VALENTÍN MENCHACA,WEALTH,342,AZUAY,CUENCA,2025-12-03,2026-02-21
1308,202602,CUS-00309,CÉDULA,8554897665,DR. VICENTE BARAJAS,WEALTH,785,GUAYAS,MANTA,2022-07-19,2026-02-21
1309,202602,CUS-00310,CÉDULA,4322535238,HERMELINDA PAREDES,WEALTH,895,GUAYAS,MANTA,2021-07-09,2026-02-21
1310,202602,CUS-00311,CÉDULA,4691482853,CLARA ARMENTA ARCHULETA,PYME,350,PICHINCHA,QUITO,2022-10-22,2026-02-21
1311,202602,CUS-00312,CÉDULA,6754547069,MIGUEL CAMILO CALDERÓN GOLLUM,CORPORATIVO,509,GUAYAS,QUITO,2022-12-10,2026-02-21
1312,202602,CUS-00313,CÉDULA,9180958033,DR. JULIA RENDÓN,RETAIL,425,PICHINCHA,CUENCA,2025-10-06,2026-02-21
1313,202602,CUS-00314,PASAPORTE,P84450082,YURIDIA PAOLA PEREA VILLAGÓMEZ,PYME,791,LOJA,QUITO,2021-07-24,2026-02-21
1314,202602,CUS-00315,RUC,3087176506001,LINDA VANESA CAMACHO,RETAIL,808,MANABÍ,GUAYAQUIL,2021-05-10,2026-02-21
1315,202602,CUS-00316,CÉDULA,9680188553,SERGIO PANTOJA,RETAIL,880,AZUAY,QUITO,2021-11-23,2026-02-21
1316,202602,CUS-00317,CÉDULA,3420060029,ALONSO JOSÉ EDUARDO GAMBOA QUIROZ,PYME,557,MANABÍ,QUITO,2023-04-14,2026-02-21
1317,202602,CUS-00318,CÉDULA,3310232790,EUGENIO NARANJO,PYME,487,MANABÍ,CUENCA,2022-10-24,2026-02-21
1318,202602,CUS-00319,CÉDULA,1637258007,JOSÉ CARLOS TOVAR MUÑOZ,CORPORATIVO,529,LOJA,GUAYAQUIL,2022-01-17,2026-02-21
1319,202602,CUS-00320,CÉDULA,2404572298,LEONEL LEAL ESPINAL,CORPORATIVO,488,GUAYAS,QUITO,2023-04-07,2026-02-21
1320,202602,CUS-00321,CÉDULA,3361752847,MARÍA ELENA BUSTOS GALINDO,WEALTH,714,AZUAY,GUAYAQUIL,2025-08-09,2026-02-21
1321,202602,CUS-00322,CÉDULA,6762162213,SR(A). AMADOR MERINO,RETAIL,309,GUAYAS,GUAYAQUIL,2024-07-29,2026-02-21
1322,202602,CUS-00323,CÉDULA,7004405048,CARMEN RAÚL FLÓREZ,CORPORATIVO,413,MANABÍ,GUAYAQUIL,2024-04-06,2026-02-21
1323,202602,CUS-00324,CÉDULA,4570182541,PERLA FRANCO VILLA,WEALTH,375,PICHINCHA,MANTA,2022-07-29,2026-02-21
1324,202602,CUS-00325,PASAPORTE,P63035666,EUGENIA ISAAC CORDERO,CORPORATIVO,975,MANABÍ,MANTA,2025-07-08,2026-02-21
1325,202602,CUS-00326,CÉDULA,2573719887,SR(A). GERÓNIMO COLUNGA,PYME,801,GUAYAS,MANTA,2022-06-30,2026-02-21
1326,202602,CUS-00327,CÉDULA,9901594841,PAOLA FIDEL DELGADO,CORPORATIVO,384,MANABÍ,MANTA,2023-08-21,2026-02-21
1327,202602,CUS-00328,CÉDULA,9380062918,VIRGINIA ALVAREZ CEJA,RETAIL,348,PICHINCHA,CUENCA,2022-12-26,2026-02-21
1328,202602,CUS-00329,CÉDULA,2179559665,JORGE GRANADOS VILLALOBOS,CORPORATIVO,794,LOJA,QUITO,2022-06-19,2026-02-21
1329,202602,CUS-00330,CÉDULA,3853232141,ADRIANA DELIA JAIMES ÁVILA,RETAIL,988,GUAYAS,MANTA,2025-09-04,2026-02-21
1330,202602,CUS-00331,CÉDULA,5259805831,LUCÍA OLIVIA CARRERA,PYME,686,MANABÍ,CUENCA,2025-02-18,2026-02-21
1331,202602,CUS-00332,CÉDULA,3029894524,MARTÍN RANGEL NÁJERA,RETAIL,688,GUAYAS,QUITO,2025-01-31,2026-02-21
1332,202602,CUS-00333,CÉDULA,7531800360,ING. BIANCA RAZO,CORPORATIVO,517,LOJA,MANTA,2025-06-13,2026-02-21
1333,202602,CUS-00334,CÉDULA,8320938955,DR. SESSA ARMAS,WEALTH,645,MANABÍ,QUITO,2026-01-11,2026-02-21
1334,202602,CUS-00335,CÉDULA,0915123483,MTRO. MARÍA JOSÉ ANGULO,PYME,529,MANABÍ,MANTA,2025-01-11,2026-02-21
1335,202602,CUS-00336,CÉDULA,8927088913,MAURO PADILLA POLANCO,CORPORATIVO,554,GUAYAS,CUENCA,2021-11-14,2026-02-21
1336,202602,CUS-00337,RUC,7604630841001,MITZY QUIROZ BENAVIDES,PYME,535,GUAYAS,GUAYAQUIL,2021-11-16,2026-02-21
1337,202602,CUS-00338,CÉDULA,7129016915,INÉS ZÚÑIGA CORDERO,PYME,325,PICHINCHA,GUAYAQUIL,2023-05-17,2026-02-21
1338,202602,CUS-00339,CÉDULA,2372950677,CARMEN LAUREANO VIGIL,CORPORATIVO,883,LOJA,QUITO,2025-02-14,2026-02-21
1339,202602,CUS-00340,CÉDULA,2908586005,MTRO. JUANA ZAMBRANO,CORPORATIVO,560,PICHINCHA,CUENCA,2026-01-08,2026-02-21
1340,202602,CUS-00341,CÉDULA,4817419597,MTRO. MARÍA ELENA SANTIAGO,WEALTH,570,MANABÍ,GUAYAQUIL,2025-03-19,2026-02-21
1341,202602,CUS-00342,CÉDULA,3141159835,LIC. BERTA CARRERO,PYME,422,GUAYAS,MANTA,2021-09-14,2026-02-21
1342,202602,CUS-00343,CÉDULA,6573062518,DR. LUIS MANUEL RAZO,PYME,955,MANABÍ,GUAYAQUIL,2023-04-11,2026-02-21
1343,202602,CUS-00344,CÉDULA,0554409416,LILIANA IVONNE RENDÓN,CORPORATIVO,556,MANABÍ,QUITO,2024-10-09,2026-02-21
1344,202602,CUS-00345,CÉDULA,2322340379,LINDA CADENA,RETAIL,955,AZUAY,QUITO,2021-11-11,2026-02-21
1345,202602,CUS-00346,CÉDULA,6849378664,LUIS HUMBERTO HERRERA NORIEGA,CORPORATIVO,720,AZUAY,CUENCA,2022-10-03,2026-02-21
1346,202602,CUS-00347,CÉDULA,3909960048,MARIO ÁNGEL BUSTOS,PYME,558,MANABÍ,QUITO,2021-10-11,2026-02-21
1347,202602,CUS-00348,CÉDULA,5226585496,AURELIO PRECIADO CALDERA,CORPORATIVO,346,GUAYAS,GUAYAQUIL,2024-12-23,2026-02-21
1348,202602,CUS-00349,CÉDULA,0628584636,CATALINA PILAR BALDERAS VILLA,WEALTH,824,MANABÍ,GUAYAQUIL,2022-11-26,2026-02-21
1349,202602,CUS-00350,CÉDULA,0674145155,ING. ISAAC CASILLAS,RETAIL,507,AZUAY,GUAYAQUIL,2023-08-11,2026-02-21
1350,202602,CUS-00351,CÉDULA,0092992318,JOAQUÍN PIÑA,CORPORATIVO,610,GUAYAS,GUAYAQUIL,2023-07-19,2026-02-21
1351,202602,CUS-00352,RUC,9665257780001,GRACIELA ZAPATA MARRERO,WEALTH,448,MANABÍ,CUENCA,2026-01-02,2026-02-21
